date,symbol,ofi_window,ofi_thresh,bucket,net_bps,net_pkr,capture_pkr,markout_pkr,liq_pkr,fee_pkr,markout_bps,opened_notional,fills,throttle
2026-01-08,ATRL,OFF,,preclose45,-8.770522790961898,-1586.0374593839897,1336.730000000011,-2641.6700000000005,0.0,281.097459384,-14.607994788596605,1808372.77,43,ON
2026-01-08,ATRL,OFF,,last15,23.229490421203742,109.28690086400128,9.360000000000582,62.159999999999854,45.08000000000084,7.313099136,13.212426312453449,47046.62,3,ON
2026-01-07,TRG,OFF,,first15,-17.710501385306284,-334.3158215000111,-273.000000000009,-32.00000000000216,0.0,29.3158215,-1.695211557104905,188767.0,8,ON
2026-01-07,TRG,OFF,,middle,0.6562611123702843,168.82798351999276,2109.389999999968,-1540.569999999975,0.0,399.9920164799999,-5.988439598726517,2572573.330000001,125,ON
2026-01-07,TRG,OFF,,preclose45,-27.27242599951981,-570.4462620270002,207.51999999997375,-745.509999999974,0.0,32.456262027,-35.64203617472204,209165.94,8,ON
2026-01-07,TRG,OFF,,last15,-9.815001151047335,-196.17266356601075,72.54999999998292,-136.30999999998977,-101.34000000000384,31.072663566000003,-6.819924767188441,199870.24,6,ON
2026-01-07,UBL,OFF,,first15,15.304802230006343,1338.2880263250174,1250.4900000000048,223.68000000001268,0.0,135.881973675,2.5580279397767023,874423.5999999999,54,ON
2026-01-07,UBL,OFF,,middle,8.784991557598547,2759.437340503,4646.549999999992,-1398.9799999999918,0.0,488.132659497,-4.453816475140136,3141081.380000001,180,ON
2026-01-07,UBL,OFF,,preclose45,7.315544449067625,90.08232680999572,249.26500000000203,-140.0650000000063,0.0,19.11767319,-11.374614417097913,123138.24000000002,5,ON
2026-01-07,UBL,OFF,,last15,3.377838728653913,27.435143937999943,25.514999999999816,39.28500000000111,-24.740000000000972,12.624856062,4.836803289789723,81221.0,7,ON
2026-01-08,BAFL,OFF,,first15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,ON
2026-01-08,BAFL,OFF,,middle,11.931575414744518,1804.8517688679697,1689.814999999984,350.1049999999859,0.0,235.06823113200008,2.314486032943875,1512668.4499999995,68,ON
2026-01-08,BAFL,OFF,,preclose45,16.891003529222896,1188.5078296519955,701.3400000000001,596.5399999999955,0.0,109.372170348,8.47799147294884,703633.6400000001,21,ON
2026-01-08,BAFL,OFF,,last15,14.306532929578587,245.12318515500584,95.25500000000096,108.7150000000023,67.80000000000257,26.646814845,6.345114708164547,171336.53999999998,6,ON
2026-01-08,BOP,OFF,,first15,,0.0,0.0,0.0,0.0,0.0,,0.0,0,ON
