date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2025-12-04,PPL,23840,556,5884,3357,94,0,494.0,-999.1454009000299,-931.7564393120265,True,0.0,True,0.1837
2025-12-05,UBL,8925,159,1519,901,13,1078,537.0,-2258.6434308799508,-2111.431593379937,True,0.0,True,0.256
2025-12-05,PPL,54154,811,10631,4058,162,6401,-345.0,-10008.18994126709,,False,345.0,True,0.169
2025-12-08,UBL,7975,186,2074,1244,16,0,-339.0,-1131.4209829680622,-887.1156665430608,True,0.0,True,0.2182
2025-12-08,PPL,45280,957,12689,5372,298,0,-396.0,-896.4875295880047,-856.0681517320045,True,0.0,True,0.1363
2025-12-09,UBL,6723,170,1661,1119,3,0,-440.0,-355.995026816061,-257.30991149603506,True,0.0,True,0.2508
2025-12-09,PPL,34951,794,8697,4760,136,0,-224.0,-922.0895112772341,-901.4865624772356,True,0.0,True,0.148
2025-12-10,UBL,7777,220,2314,1477,23,10,384.0,1308.884409233142,,True,0.0,True,0.3202
2025-12-10,PPL,30295,704,8358,4480,278,66,,,,,,False,0.2519
2025-12-11,UBL,6494,133,1386,944,2,0,442.0,-446.2557688780944,-389.1151757581101,True,0.0,True,0.2983
2025-12-11,PPL,33201,710,8057,4389,121,0,239.0,194.23059849601123,228.13535359600792,True,0.0,True,0.1575
2025-12-12,UBL,13862,309,3340,2159,11,1316,-41.0,-418.471745950932,-409.4731869419338,True,0.0,True,0.2596
2025-12-12,PPL,40959,773,8868,4552,161,3743,231.0,-1355.1492734189596,-1348.8923542889606,True,0.0,True,0.1491
2025-12-15,UBL,10852,235,2476,1685,10,0,503.0,-3002.656831039116,-2814.1490954291075,True,0.0,True,0.2548
2025-12-15,PPL,51672,1123,13632,6279,249,0,363.0,30.585699380928418,64.2713595869136,True,0.0,True,0.189
2025-12-16,UBL,13498,443,4392,2647,25,0,502.0,-493.2969491891272,-242.10583778913133,True,0.0,True,0.2164
2025-12-16,PPL,37293,861,9586,5118,85,3,-9.0,826.9627415098298,,False,9.0,True,0.2136
2025-12-17,UBL,19496,502,5468,3082,17,0,503.0,-1045.7022992283164,-931.8820523373142,True,0.0,True,0.3164
2025-12-17,PPL,31947,795,7980,5126,79,18,-485.0,-775.9373500490619,-663.2798098690691,True,0.0,True,0.1892
2025-12-18,UBL,16222,438,4390,2516,80,0,192.0,-1928.849447398883,-1730.7179849988897,True,0.0,True,0.1865
2025-12-18,PPL,29277,781,9086,5818,99,0,75.0,-1151.3980748861431,-1131.9862851861435,True,0.0,True,0.1867
2025-12-19,UBL,13239,244,2558,1448,7,1561,207.0,47.69524556607939,127.13805711509485,True,0.0,True,0.231
2025-12-19,PPL,34664,783,8847,4498,199,3198,-542.0,-1129.5988093369524,-1071.5963958709472,True,0.0,True,0.1934
2025-12-22,UBL,10366,320,3163,2099,11,0,572.0,-770.7296318232839,-623.8505388912745,True,0.0,True,0.2352
2025-12-22,PPL,23801,632,6951,4292,113,0,-199.0,-1729.680779896873,-1711.3795866918736,True,0.0,True,0.2273
2025-12-23,UBL,8872,279,2481,1674,12,0,-531.0,56.771347572037484,262.23202292399947,True,0.0,True,0.2655
2025-12-23,PPL,23729,526,6084,3664,58,15,-483.0,-731.7280084289523,-699.4004175389709,True,0.0,True,0.2518
2025-12-24,UBL,5205,221,1567,1084,7,0,457.0,-44.33681229298236,75.34959115702077,True,0.0,True,0.2471
2025-12-24,PPL,20954,429,4433,2508,72,10,92.0,-611.5869264288776,-604.9449855088751,True,0.0,True,0.2421
2025-12-26,UBL,5870,116,1148,720,8,318,-537.0,-17.371808797877748,136.50555236911168,True,0.0,True,0.2567
2025-12-26,PPL,34169,744,7298,3228,112,995,-30.0,1098.566746231846,1101.3491466318465,True,0.0,True,0.1945
2025-12-29,UBL,6778,142,1397,932,2,16,-445.0,-1981.795138546091,-1867.1843138710828,True,0.0,True,0.3424
2025-12-29,PPL,34397,762,8310,4211,125,2272,475.0,-280.8897810460621,,True,0.0,True,0.2065
2025-12-30,UBL,10175,224,2316,1345,15,742,-434.0,3949.888997551898,,True,0.0,True,0.2837
2025-12-30,PPL,40839,920,9360,4732,140,2145,-337.0,812.636500205961,,True,0.0,True,0.2122
2025-12-31,UBL,10163,316,3136,1811,60,0,-279.0,279.19492481775524,423.7225519687636,True,0.0,True,0.2333
2025-12-31,PPL,36641,1003,9395,4985,127,11,-519.0,-61.12550879806804,62.55012506293133,True,0.0,True,0.1854
2026-01-01,UBL,15755,419,4196,2369,18,0,307.0,-1167.8161959190911,-1112.7410743890796,True,0.0,True,0.2753
2026-01-01,PPL,30434,935,9540,5563,156,0,-235.0,679.4474690760544,724.3138789010554,True,0.0,True,0.2006
2026-01-02,UBL,15898,398,3281,2096,15,1105,-261.0,-4673.718313008911,-4627.178112633919,True,0.0,True,0.2306
