date,symbol,n_events,n_fills,n_orders_sent,n_cancels,rejected_crossing,halted_requotes,pos_at_close,net_pnl,equity_mid_mark,liquidation_clean,unfilled_sh,eod_fired,rest_oid_resolved_frac
2025-10-28,UBL,7891,462,1987,1528,21,0,483.0,-750.4640173081716,-487.35969316217233,True,0.0,True,0.3305
2025-10-28,PPL,20698,152,4584,3749,18,1794,181.0,-1001.665533044943,,True,0.0,True,0.2356
2025-10-29,UBL,9328,671,2323,1555,33,0,217.0,1220.805460717951,1420.0915439169476,True,0.0,True,0.3441
2025-10-29,PPL,25838,285,6048,4881,26,1733,423.0,-4805.139517700998,,False,423.0,True,0.2094
2025-10-30,UBL,7718,778,1999,1336,14,0,-500.0,1442.577059944073,1506.60190994406,True,0.0,True,0.298
2025-10-30,PPL,19568,169,4313,3231,15,1474,215.0,-255.67910010405467,,True,0.0,True,0.221
2025-10-31,UBL,11412,605,2352,1563,14,854,199.0,-11419.947326708978,-11314.494341208978,True,0.0,True,0.2489
2025-10-31,PPL,24259,143,5123,4032,8,3649,184.0,1518.2737954059921,,True,0.0,True,0.1477
2025-11-03,UBL,9795,395,1816,1381,20,0,467.0,-828.7462696091679,-670.2776206161652,True,0.0,True,0.2398
2025-11-03,PPL,24888,126,5412,4799,74,0,196.0,1632.0791913749927,1656.4948186670008,True,0.0,True,0.1915
2025-11-04,UBL,7968,442,1501,1186,9,0,375.0,-875.0001671440259,-656.2382628240157,True,0.0,True,0.2628
2025-11-04,PPL,24697,136,5255,4461,14,1820,-465.0,-8148.048885223034,,False,465.0,True,0.2101
2025-11-05,UBL,8741,664,2116,1547,17,0,-592.0,-4274.944323214964,-4020.720129294961,True,0.0,True,0.3259
2025-11-05,PPL,24198,105,4844,4119,4,0,539.0,175.05262214702088,240.4726454870106,True,0.0,True,0.1996
2025-11-06,UBL,6690,531,1245,996,12,851,-500.0,-17988.21243362347,,False,500.0,True,0.3171
2025-11-06,PPL,17367,111,2661,2360,21,0,453.0,471.5389794119983,489.31227133200446,True,0.0,True,0.176
2025-11-07,UBL,8102,378,1501,981,29,939,449.0,-2865.804907286889,-2740.4547261369007,True,0.0,True,0.2853
