symbol,n_days_screened,n_days_top20,n_days_material,n_days_tradeable,median_rank,best_rank,n_days_top20_rankonly,days_traded,days_unscreenable,pct_days_unscreenable,pct_days_top20,pct_days_top20_screened,pct_days_top20_rankonly,pct_days_material,pct_days_tradeable,n_days_level,ceiling_median,ceiling_p25,ceiling_p75,ceiling_max,ceiling_raw_median,notional_m_median,spread_bps_median,pct_time_wide_median,mk1_bps_median,mk5_bps_median,mk10_bps_median,mk60_bps_median,pct_days_edge5_pos,pct_days_edge10_pos,ceiling_iqr,iqr_over_median,net5_trec_median,net10_trec_median
YOUW,207,7,61,207,184.0,3.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.2946859903381642,1.0,186.0,18335.152833171036,9022.62653961446,37270.35109359429,1155523.3973654627,24139.24474850011,8.341462185000001,49.30209381981888,0.7099441394550523,10.68244163169031,10.529314911556138,10.863044065395865,11.560270709695313,0.956989247311828,0.967741935483871,28247.72455397983,1.5406320749546996,9.749314911556139,10.083044065395866
ILP,207,7,106,207,129.0,1.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.5120772946859904,1.0,186.0,29721.445169391285,16837.115248657366,82693.63211677375,1293696.9489622763,45942.3560894997,37.15323563,23.99541683220228,0.42518047993547087,7.693874896156464,8.101779757789702,7.803302074571832,8.220878431586998,0.989247311827957,0.9731182795698925,65856.51686811638,2.2157912070823156,7.3217797577897015,7.0233020745718315
CLOV,207,7,70,206,178.0,2.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.33816425120772947,0.9951690821256038,186.0,13705.627881973738,6020.342390865025,46380.151299469115,1580528.705537739,19466.57592650002,11.755272255000001,38.00422563234376,0.6069948389228945,7.330570828409337,7.418210407491306,7.08370206935969,8.576735284500932,0.9408602150537635,0.9301075268817204,40359.80890860409,2.9447617618224657,6.6382104074913055,6.30370206935969
CEPB,207,7,108,207,138.0,4.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.5217391304347826,1.0,186.0,31804.25800151199,10703.660775416527,79436.53946958829,1064048.2657370775,40958.578407499874,25.046296854999998,32.66645439926846,0.5604809399814138,7.01527688272195,6.604852101462795,6.575505310626186,7.062517553620799,0.946236559139785,0.9139784946236559,68732.87869417176,2.161121906724067,5.8248521014627945,5.795505310626186
AGHA,207,7,112,207,129.0,5.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.5410628019323671,1.0,186.0,32520.9110440143,16957.88613890613,63658.657174031156,958395.3566361415,41419.269322499975,33.702273375000004,24.08195694534713,0.38889968401959163,5.340798949894996,5.561119787927613,5.513712124137759,5.615936050904273,0.9838709677419355,0.967741935483871,46700.77103512503,1.4360228399481025,4.781119787927612,4.733712124137758
GCWL,207,7,121,206,119.0,10.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.5845410628019324,0.9951690821256038,186.0,41997.38281634122,22203.096519734645,90756.88975648886,452448.7034553649,48927.06470600017,36.825981209999995,24.96878901373319,0.38819016310521665,5.243892047715811,5.539577500098602,5.5409914621349685,5.762161684629912,0.9516129032258065,0.9247311827956989,68553.79323675422,1.6323348894512513,4.759577500098602,4.760991462134968
POWER,207,7,142,207,108.0,4.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.6859903381642513,1.0,186.0,53626.2752652655,24583.872413875804,98351.2277081954,832849.3065972171,64872.56278399995,46.915316839999996,21.674382770421374,0.3212370387993418,5.059093879209712,5.329374803650525,5.208801899488735,5.346191142635137,0.946236559139785,0.9408602150537635,73767.3552943196,1.375582304186242,4.549374803650525,4.428801899488735
BBFL,207,7,71,207,170.0,6.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.34299516908212563,1.0,186.0,19740.79660136363,8923.305203564318,49322.17139672913,460763.5580570236,29399.202008999942,26.19401745,26.881785085991034,0.45626663322604466,5.44622380898806,5.1787839360096015,5.017975547874586,5.957463107409182,0.9032258064516129,0.9247311827956989,40398.86619316481,2.0464658548973746,4.398783936009601,4.237975547874586
GAL,207,7,187,206,77.0,2.0,7,207,0,0.0,0.033816425120772944,0.033816425120772944,0.033816425120772944,0.9033816425120773,0.9951690821256038,186.0,82043.48211505383,47116.83121429637,133690.0255002614,1191111.6137755585,101977.28371850168,184.39517489,10.666678802976772,0.07778434997457215,2.7424836380590674,2.7333267211899757,2.606654771112941,2.1599530827139346,0.9731182795698925,0.9354838709677419,86573.19428596503,1.0552111155467407,1.9533267211899756,1.8266547711129408
SBL,207,6,65,206,195.0,5.0,6,207,0,0.0,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.3140096618357488,0.9951690821256038,186.0,13748.397131917303,3997.4372609763436,43284.403703801625,766920.1202992518,20599.647940499977,6.4334296349999995,75.04690431519707,0.851063829787234,15.329478797720785,16.91789375853181,17.300435413642855,17.87414841403562,0.9139784946236559,0.9193548387096774,39286.96644282528,2.857567036059749,16.13789375853181,16.520435413642854
